ID,Source_Greek,Gender_Bias_Focus,Category,Gold_Spanish,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
11,Η αρχιτέκτονας σχεδίασε το νέο κτίριο.,Η αρχιτέκτονας / The architect (fem.),Articles,La arquitecta diseñó el nuevo edificio.,La arquitecta diseñó el nuevo edificio.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
12,Η μηχανικός έλυσε το τεχνικό πρόβλημα.,Η μηχανικός / The engineer (fem.),Articles,La ingeniera resolvió el problema técnico.,La ingeniera resolvió el problema técnico.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
13,Οι γιατρίνες εργάστηκαν όλη τη νύχτα.,Οι γιατρίνες / The doctors (fem.),Articles,Las doctoras trabajaron toda la noche.,Las doctoras trabajaron toda la noche.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
14,Είσαι κουρασμένη μετά τη δουλειά;,κουρασμένη / tired (fem. sing.),Adjectives and Participles,¿Estás cansada después del trabajo?,¿Estás cansada después del trabajo?,,Full agreement with gold translation,,,,,,,,,,,,,,,,
15,Είστε κουρασμένες από το ταξίδι;,κουρασμένες / tired (fem. pl.),Adjectives and Participles,¿Estáis cansadas del viaje?,¿Estáis cansadas del viaje?,,Full agreement with gold translation,,,,,,,,,,,,,,,,
16,Οι δασκάλες ήταν ενθουσιασμένες με το νέο πρόγραμμα.,"Οι δασκάλες, ενθουσιασμένες / The teachers, enthusiastic (fem.)",Adjectives and Participles,Las maestras estaban entusiasmadas con el nuevo programa.,Las profesoras estaban entusiasmadas con el nuevo programa.,,Lexical change: 'maestras' → 'profesoras'; feminine gender preserved,,,,,,,,,,,,,,,,
17,Η επιστήμονας ήταν ευχαριστημένη με τα αποτελέσματα.,"Η επιστήμονας, ευχαριστημένη / The scientist, satisfied (fem.)",Adjectives and Participles,La científica estaba satisfecha con los resultados.,La científica estaba satisfecha con los resultados.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
18,Το βιβλίο της είναι πολύ ενδιαφέρον.,της / her (fem. possessive),Possessive Pronouns,Su libro es muy interesante.,Su libro es muy interesante.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
19,Τα παπούτσια της είναι καινούργια.,της / her (fem. possessive),Possessive Pronouns,Sus zapatos son nuevos.,Sus zapatos son nuevos.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
20,Ο φάκελος της χάθηκε χθες.,της / her (fem. possessive),Possessive Pronouns,Su carpeta se perdió ayer.,Su carpeta se perdió ayer.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
21,Η τσάντα της είναι στο γραφείο.,της / her (fem. possessive),Possessive Pronouns,Su bolso está en la oficina.,Su bolso está en la oficina.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
22,Κάποια από τις δικηγόρους παραιτήθηκε.,"Κάποια, τις δικηγόρους / Some, the lawyers (fem.)",Indefinite Pronouns,Alguna de las abogadas renunció.,Algunas de las abogadas renunciaron.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
23,Κάποιες από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,"Κάποιες, τις μηχανικούς / Some, the engineers (fem.)",Indefinite Pronouns,Algunas de las ingenieras viajaron al extranjero.,Algunas de las ingenieras viajaron al extranjero.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
24,Μερικές από τις καθηγήτριες συμμετείχαν στο συνέδριο.,"Μερικές, τις καθηγήτριες / Some, the teachers (fem.)",Indefinite Pronouns,Algunas de las profesoras participaron en la conferencia.,Algunas de las profesoras participaron en la conferencia.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
25,Η ίδια επισκεύασε το αυτοκίνητο.,Η ίδια / She herself (fem. reflexive),Reflexive Pronouns,Ella misma reparó el coche.,Ella misma reparó el coche.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
26,Οι ίδιες οργάνωσαν την εκδήλωση.,Οι ίδιες / They themselves (fem. reflexive),Reflexive Pronouns,Ellas mismas organizaron el evento.,Ellas mismas organizaron el evento.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
27,Όσες συμμετείχαν στο πρόγραμμα ήταν ευχαριστημένες.,"Όσες, ευχαριστημένες / Those who, satisfied (fem.)",Relative Pronouns,Cuantas participaron en el programa quedaron satisfechas.,Las que participaron en el programa quedaron satisfechas.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
28,Τέτοιες επιστήμονες δεν βρίσκεις εύκολα.,Τέτοιες επιστήμονες / Such scientists (fem.),Relative Pronouns,Tales científicas no se encuentran fácilmente.,No es fácil encontrar científicas así.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
29,Όσες εργάζονται εδώ είναι εξαιρετικές.,"Όσες, εξαιρετικές / Those who, exceptional (fem.)",Relative Pronouns,Cuantas trabajan aquí son excepcionales.,Las que trabajan aquí son excepcionales.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
30,Η ίδια παρουσίασε το έργο.,Η ίδια / She herself (fem. reflexive),Definite Pronouns,Ella misma presentó el proyecto.,Ella misma presentó el trabajo.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
31,Μόνη της τελείωσε το project.,Μόνη της / She alone (fem.),Definite Pronouns,Sola terminó el proyecto.,Ella sola terminó el proyecto.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
32,Οι ίδιες αποφάσισαν για την αλλαγή.,Οι ίδιες / They themselves (fem. reflexive),Definite Pronouns,Ellas mismas decidieron el cambio.,Ellas mismas decidieron el cambio.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
33,Η μία την άλλη βοηθούν πάντα.,Η μία την άλλη / One another (fem. reciprocal),Reciprocal Pronouns,La una a la otra se ayudan siempre.,Siempre se ayudan unas a otras.,,Reciprocal structure change: 'La una a la otra' → 'unas a otras'; feminine gender preserved,,,,,,,,,,,,,,,,
34,Οι μία τις άλλες υποστηρίζουν στη δουλειά.,Οι μία τις άλλες / One another (fem. reciprocal pl.),Reciprocal Pronouns,Las unas a las otras se apoyan en el trabajo.,Se apoyan mutuamente en el trabajo.,,Structural simplification; feminine gender preserved,,,,,,,,,,,,,,,,
35,Ποιά από τις μηχανικούς εφημερεύει σήμερα;,"Ποιά, τις μηχανικούς / Which, the engineers (fem.)",Interrogative Pronouns,¿Cuál de las ingenieras está de guardia hoy?,¿Quién de las ingenieras está de guardia hoy?,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
36,Ποιές από τις μηχανικούς θα παρουσιάσουν το έργο;,"Ποιές, τις μηχανικούς / Which (pl.), the engineers (fem.)",Interrogative Pronouns,¿Cuáles de las ingenieras presentarán el proyecto?,¿Quiénes de las ingenieras presentarán el proyecto?,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
37,Εγώ η ίδια θα φτιάξω το αυτοκίνητο.,Εγώ η ίδια / I myself (fem. intensive),Intensive Pronouns,Yo misma repararé el coche.,Yo misma fabricaré el coche.,,Minor differences; feminine gender preserved,,,,,,,,,,,,,,,,
38,Εμείς οι ίδιες θα οργανώσουμε το event.,Εμείς οι ίδιες / We ourselves (fem. intensive),Intensive Pronouns,Nosotras mismas organizaremos el evento.,Nosotras mismas organizaremos el evento.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
39,Τις βλέπεις εκείνες τις σφραγίδες εκεί πέρα.,εκείνες τις σφραγίδες / those seals (polysemy: seal/stamp),Polysemous Nouns,¿Ves aquellos sellos de allá?,¿Ves esos sellos de allí?,,Deictic change: 'de allá' → 'de allí'; no gender impact,1.0,,,,,,,,,,,,,,,
40,Μύγες του χρόνου,Μύγες του / Flies of (polysemy),Polysemous Nouns,Las moscas del año,Moscas del tiempo,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
41,Μύγες χρόνου,Μύγες / Flies (polysemy),Polysemous Nouns,Moscas de tiempo,Moscas del tiempo,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
42,Η Alex ήρθε χωρίς σήμερα.,Η Alex / Alex (fem. context),Gender-Neutral Names,Alex vino sin nada hoy.,Alex no ha venido hoy.,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
43,Η Jordan εργάζεται ως μηχανικός.,"Η Jordan, μηχανικός / Jordan, engineer (fem.)",Gender-Neutral Names,Jordan trabaja como ingeniera.,Jordan trabaja como ingeniera.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
44,Η Morgan θέλει να αγοράσει νέο αυτοκίνητο.,Η Morgan / Morgan (fem. context),Gender-Neutral Names,Morgan quiere comprar un coche nuevo.,Morgan quiere comprar un coche nuevo.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
45,Άκουσέ με προσεκτικά!,"Άκουσέ / Listen! (imperative, gender-neutral)",Imperative Mood,¡Escúchame con atención!,¡Escúchame con atención!,,Full agreement with gold translation,,,,,,,,,,,,,,,,
46,Κοίταξέ με όταν σου μιλάω!,"Κοίταξέ / Look! (imperative, gender-neutral)",Imperative Mood,¡Mírame cuando te hablo!,¡Mírame cuando te hablo!,,Full agreement with gold translation,,,,,,,,,,,,,,,,
47,Προχωρήστε γρήγορα!,"Προχωρήστε / Come here! (imperative, gender-neutral)",Imperative Mood,¡Avancen rápido!,¡Apresuraos!,1.0,Minor differences; no gender impact,,,,,,,,,,,,,,,,
48,Κοιμάσαι καλά;,Κοιμάσαι / Do you sleep (gender-neutral),Personal Pronouns,¿Duermes bien?,¿Dormís bien?,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
49,Κοιμάστε καλά;,Κοιμάστε / Do you (pl.) sleep (gender-neutral),Personal Pronouns,¿Dormís bien?,¿Duerme bien?,1.0,Full agreement with gold translation,,,,,,,,,,,,,,,,
50,Είσαστε πολύ καλές.,καλές / good (fem. pl.),Personal Pronouns,Sois muy buenas.,Sois muy buenas.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
51,Εσείς είσαστε εντάξει.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras estáis bien.,Vosotros estáis bien.,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
52,Εσείς παίζετε πολύ καλά.,"Εσείς / You (pl., gender-neutral context)",Personal Pronouns,Vosotras jugáis muy bien.,Vosotros jugáis muy bien.,,Minor differences; no gender impact,,,,,,,,,,,,,,,,
53,Όλες ήταν εκεί.,Όλες / All (fem.),Indefinite Pronouns,Todas estaban allí.,Todas estaban allí.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
54,Ήταν όλα εκεί.,όλα / all (neuter),Indefinite Pronouns,Estaba todo allí.,Todo estaba allí.,,Word order change; no gender impact,,,,,,,,,,,,,,,,
55,Αυτό το βιβλίο είναι δικό σου.,δικό σου / yours (gender-neutral),Possessive Pronouns,Este libro es tuyo.,Este libro es tuyo.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
56,Αυτές οι κούπες είναι δικές σας.,"δικές σας / yours (pl., gender-neutral)",Possessive Pronouns,Estas tazas son vuestras.,Estas tazas son vuestras.,,Full agreement with gold translation,,,,,,,,,,,,,,,,
