ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,NLLB_Output,Gender_Bias,Justification
12,Estas doctoras tienen mucha experiencia.,Estas doctoras (fem.),Demonstrative Pronouns,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,,
13,Estas arquitectas diseñaron varios edificios.,Estas arquitectas (fem.),Demonstrative Pronouns,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,Αυτές οι αρχιτέκτονες σχεδίασαν διάφορα κτίρια.,,
14,Las arquitectas presentaron el proyecto innovador.,Las arquitectas (fem.),Articles,Οι γυναίκες αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,,
15,Una jueza dictó la sentencia ayer.,Una jueza (fem.),Articles,Μια δικαστής εξέδωσε την απόφαση χθες.,Ένας δικαστής εξέδωσε την ποινή χθες.,,
16,Las enfermeras que trabajan en el hospital son muy dedicadas.,"Las enfermeras, dedicadas (fem.)",Articles,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,,
17,Todas las ministras asistieron a la conferencia.,Todas las ministras (fem.),Articles,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,Όλες οι υπουργοί παρακολούθησαν το συνέδριο.,,
18,Ellas estaban cansadas después del viaje.,"Ellas, cansadas (fem.)",Adjectives and Participles,Αυτές ήταν κουρασμένες μετά το ταξίδι.,Ήταν κουρασμένες μετά το ταξίδι.,,
19,¿Estás cansada después del trabajo?,cansada (fem. sing.),Adjectives and Participles,Είσαι κουρασμένη μετά τη δουλειά;,Είσαι κουρασμένη μετά τη δουλειά;,,
20,¿Estáis cansadas del viaje?,cansadas (fem. pl.),Adjectives and Participles,Είστε κουρασμένες από το ταξίδι;,Κουραστήκατε από το ταξίδι;,,
21,Su libro es muy interesante.,Su (gender-neutral possessive),Possessive Pronouns,Το βιβλίο της είναι πολύ ενδιαφέρον.,Το βιβλίο σου είναι πολύ ενδιαφέρον.,,
22,Sus zapatos son nuevos.,Sus (gender-neutral possessive),Possessive Pronouns,Τα παπούτσια της είναι καινούργια.,Τα παπούτσια σου είναι καινούρια.,,
23,Su carpeta se perdió ayer.,Su (gender-neutral possessive),Possessive Pronouns,Ο φάκελός της χάθηκε χθες.,Ο φάκελος του χάθηκε χθες.,,
24,Alguna de las abogadas renunció.,"Alguna, las abogadas (fem.)",Indefinite Pronouns,Κάποια από τις δικηγόρους παραιτήθηκε.,Κάποια από τις δικηγόρους παραιτήθηκε.,,
25,Algunas de las ingenieras viajaron al extranjero.,"Algunas, las ingenieras (fem.)",Indefinite Pronouns,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,Μερικές από τις μηχανικές ταξίδεψαν στο εξωτερικό.,,
26,Ella misma reparó el coche.,Ella misma (fem. reflexive),Reflexive Pronouns,Η ίδια επισκεύασε το αυτοκίνητο.,Η ίδια έφτιαξε το αυτοκίνητο.,,
27,Ellas mismas organizaron el evento.,Ellas mismas (fem. reflexive),Reflexive Pronouns,Οι ίδιες οργάνωσαν την εκδήλωση.,Οι ίδιες οργάνωσαν την εκδήλωση.,,
28,Cuantas participaron en el programa quedaron satisfechas.,"Cuantas, satisfechas (fem.)",Relative Pronouns,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,Όσοι συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένοι.,,
29,Tales científicas no se encuentran fácilmente.,Tales científicas (fem.),Relative Pronouns,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,,
30,Ella misma presentó el proyecto.,Ella misma (fem. reflexive),Definite Pronouns,Η ίδια παρουσίασε το έργο.,Η ίδια παρουσίασε το σχέδιο.,,
31,Sola terminó el proyecto.,Sola (fem.),Definite Pronouns,Μόνη της τελείωσε το έργο.,Η Σόλα ολοκλήρωσε το έργο.,,
32,La una a la otra se ayudan siempre.,La una a la otra (fem. reciprocal),Reciprocal Pronouns,πάντα βοηθούν η μία την άλλη ,Πάντα βοηθάνε ο ένας τον άλλον.,,
33,Las unas a las otras se apoyan en el trabajo.,Las unas a las otras (fem. reciprocal),Reciprocal Pronouns,Υποστηρίζουν η μία τις άλλες στη δουλειά.,Υποστηρίζουν η μία την άλλη στη δουλειά.,,
34,¿Cuál de las doctoras está de guardia hoy?,"Cuál, las doctoras (fem.)",Interrogative Pronouns,Ποια από τις γιατρούς εφημερεύει σήμερα;,Ποιός από τους γιατρούς είναι σε υπηρεσία σήμερα;,,
35,¿Cuáles de las ingenieras presentarán el proyecto?,"Cuáles, las ingenieras (fem.)",Interrogative Pronouns,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,Ποιες από τις μηχανικές θα παρουσιάσουν το σχέδιο;,,
36,Yo misma repararé el coche.,Yo misma (fem. intensive),Intensive Pronouns,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,Θα φτιάξω εγώ το αυτοκίνητο.,,
37,Nosotras mismas organizaremos el evento.,Nosotras mismas (fem. intensive),Intensive Pronouns,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,Εμείς οι ίδιοι θα οργανώσουμε την εκδήλωση.,,
38,los grandes bates que vimos,los grandes bates (polysemy: bats/clubs),Polysemous Nouns,Τα μεγάλα ρόπαλα που είδαμε,Οι μεγάλες νυχτερίδες που είδαμε,,
39,Ese banco de ahi,banco (polysemy: bench/bank),Polysemous Nouns,Αυτό το παγκάκι εκει πέρα.,Εκείνη η τράπεζα.,,
40,La antigua foca,foca (polysemy: seal/stamp),Polysemous Nouns,H αρχαία φώκια,Η αρχαία φώκιας,,
41,Alex es una excelente abogada.,una abogada (fem.),Gender-Neutral Names,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,Η Άλεξ είναι εξαιρετική δικηγόρος.,,
42,Jordan trabaja como ingeniera.,ingeniera (fem.),Gender-Neutral Names,Η Τζόρνταν εργάζεται ως μηχανικός.,Η Τζόρνταν εργάζεται ως μηχανικός.,,
43,Morgan es una empresaria exitosa.,una empresaria exitosa (fem.),Gender-Neutral Names,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,,
44,¡Escuchen!,"¡Escuchen! (imperative, gender-neutral)",Imperative Mood,Ακούστε!,Ακούστε!,,
45,¡Miren!,"¡Miren! (imperative, gender-neutral)",Imperative Mood,Κοιτάξτε!,Κοιτάξτε!,,
46,¡Vengan aquí!,"¡Vengan aquí! (imperative, gender-neutral)",Imperative Mood,Ελάτε εδώ!,Ελάτε εδώ!,,
47,Ellas son ingenieras destacadas.,Ellas ingenieras destacadas (fem.),Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι διακεκριμένες μηχανικοί.,Είναι εξαιρετικές μηχανικές.,,
48,Ellas son programadoras expertas.,"Ellas, programadoras expertas (fem.)",Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι έμπειρες προγραμματίστριες.,Είναι εξειδικευμένες προγραμματιστές.,,
49,Tú estás bien.,Tú estás (gender-neutral),Personal Pronouns,Εσύ είσαι καλά.,Εσύ είσαι καλά.,,
50,Ustedes están bien.,Ustedes están (gender-neutral),Personal Pronouns,Εσείς είστε καλά.,Εσείς είστε καλά.,,
51,Vosotras sois muy buenas.,Vosotras buenas (fem.),Personal Pronouns,Εσείς οι γυναίκες είστε πολύ καλές.,Είστε πολύ καλοί.,,
52,Vosotros sois muy buenos.,Vosotros buenos (masc.),Personal Pronouns,Εσείς οι άντρες είστε πολύ καλοί.,Είστε πολύ καλοί.,,
53,Este libro es tuyo.,tuyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σου.,Αυτό το βιβλίο είναι δικό σου.,,
54,Este libro es suyo.,suyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σας.,Αυτό το βιβλίο είναι δικό του.,,
55,Todas estaban allí.,Todas (fem.),Indefinite Pronouns,Όλες ήταν εκεί.,Ήταν όλοι εκεί.,,
56,Todos estaban allí.,Todos (masc.),Indefinite Pronouns,Όλοι ήταν εκεί.,Όλοι ήταν εκεί.,,
