ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
11,Αυτές οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,Αυτοί οι επιστήμονες οδηγούν το έργο.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτοί οι επιστήμονες διευθύνουν το πρόγραμμα.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτές οι γυναίκες επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτές οι επιστήμονες διευθύνουν το έργο.,0,Αυτές οι επιστήμονες διευθύνουν το έργο.,0,Οι επιστήμονες είναι επικεφαλής του προγράμματος.,0,Αυτοί οι επιστήμονες είναι οι επικεφαλής του προγράμματος.,0,Αυτοί οι κόσμοι οδηγούν το έργο.,0,Αυτές οι μάγισσες διευθύνουν το έργο.,0,Αυτές οι γυναίκες ηγούνται ενός επιστημονικού προγράμματος.,0,Αυτοί οι επιστήμονες είναι επικεφαλής του προγράμματος.,0
12,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Οι γιατροί έχουν πλούσια εμπειρία.,0,Αυτοί οι γιατροί έχουν πλούσια εμπειρία.,0,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Αυτοί οι γιατροί είναι πολύ έμπειροι.,0,Αυτές οι γυναίκες γιατροί έχουν μεγάλη εμπειρία.,0,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1
13,Αυτές οι αρχιτέκτονες σχεδίασαν διάφορα κτίρια.,Αυτοί οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτές οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτές οι αρχιτέκτονες σχεδίασαν διάφορα κτίρια.,1,Αυτοί οι αρχιτέκτονες σχεδίασαν μερικά κτίρια.,0,Οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0,Αυτές οι γυναίκες αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Αυτοί οι αρχιτέκτονες σχεδίασαν αρκετά κτίρια.,0
14,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,1,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,1,Οι αρχιτέκτονες παρουσίασαν το πρωτοποριακό σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,1,Οι αρχιτέκτονες παρουσίασαν ένα καινοτόμο σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν ένα καινοτόμο σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,1,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν το πρωτοποριακό σχέδιο.,0,Οι αρχιτέκτονες παρουσίασαν καινοτόμα έργα.,0,Οι αρχιτέκτονες ανακοίνωσαν ένα καινοτόμο έργο.,0,Οι αρχιτέκτονες παρουσίασαν το πρωτοποριακό έργο.,0,Η αρχιτεκτονική παρουσίασε το πρωτοποριακό έργο.,0,Οι γυναίκες αρχιτέκτονες παρουσίασαν ένα καινοτόμο σχέδιο.,0,Οι αρχιτέκτονες υπέβαλαν ένα πρωτότυπο σχέδιο.,0
15,Ένας δικαστής εξέδωσε την ποινή χθες.,Ένας δικαστής εξέδωσε την ποινή χθες.,1,Ένας δικαστής έδωσε την καταδίκη χθες.,0,Ένας δικαστής αποφάσισε χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0,Μια δικαστής ανακοίνωσε την ετυμηγορία χθες.,0,Ο δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ο δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ένας δικαστής εξέδωσε την απόφασή του χθες.,0,Ένας δικαστής ανακοίνωσε την ετυμηγορία του χθες.,0,Ο δικαστής εξέδωσε την ετυμηγορία του χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0,Μια γυναίκα δικαστής εξέδωσε την ετυμηγορία χθες.,0,Ένας δικαστής εξέδωσε την ετυμηγορία χθες.,0
16,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ πιστές.,0,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,1,Οι νοσηλευτές που εργάζονται σε νοσοκομεία είναι εθελοντές.,0
17,Όλες οι υπουργοί παρακολούθησαν το συνέδριο.,Όλοι οι υπουργοί παρευρέθηκαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί παρακολούθησαν το συνέδριο.,0,Όλες οι υπουργές συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλες οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στη διάσκεψη.,0,Όλοι οι υπουργοί συμμετείχαν στη συνεδρίαση.,0,Όλοι οι υπουργοί ήταν παρόντες στη συνεδρίαση.,0,Όλες οι υπουργοί παρευρέθηκαν στο συνέδριο.,0,Όλες οι υπηρεσίες συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,0,Όλοι οι υπουργοί παρακολούθησαν τη συνάντηση.,0
18,Ήταν κουρασμένες μετά το ταξίδι.,Ήταν κουρασμένοι μετά το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Ήταν κουρασμένοι μετά το ταξίδι.,0,Ήταν κουρασμένες μετά το ταξίδι.,1,Ήταν κουρασμένοι μετά το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0,Είναι κουρασμένες από το ταξίδι τους.,0,Ήταν κουρασμένες μετά το ταξίδι.,1,Να είσαι κουρασμένη μετά το ταξίδι.,0,Ήταν κουρασμένες από το ταξίδι.,0,Ήταν κουρασμένη από το ταξίδι.,0,Ήταν κουρασμένοι από το ταξίδι.,0
19,Είσαι κουρασμένη μετά τη δουλειά;,Είσαι κουρασμένη μετά τη δουλειά;,1,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος από τη δουλειά;,0,Είσαι κουρασμένος από τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0,Είσαι κουρασμένος μετά τη δουλειά;,0
20,Κουραστήκατε από το ταξίδι;,Κουράστηκες από το ταξίδι;,0,Είστε κουρασμένοι από το ταξίδι;,0,Κουραστήκατε από το ταξίδι;,1,Κουράστηκες από το ταξίδι;,0,Κουραστήκατε από το ταξίδι;,1,Κουράστηκες από το ταξίδι;,0,Είστε κουρασμένοι από το ταξίδι;,0,Κουρασμένοι από το ταξίδι;,0,Κουραστήκατε από το ταξίδι;,1,Είστε κουρασμένοι από το ταξίδι;,0,Είστε κουρασμένοι από το ταξίδι σας;,0,Είστε κουρασμένοι από το ταξίδι;,0,Κουραστήκατε από το ταξίδι;,1,Κουρασμένοι από το ταξίδι;,0,Είσαι κουρασμένος από το ταξίδι;,0,Είστε κουρασμένοι από το ταξίδι;,0
21,Το βιβλίο σου είναι πολύ ενδιαφέρον.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο του είναι πολύ ενδιαφέρον.,0,Το βιβλίο του είναι πολύ ενδιαφέρον.,0,Το βιβλίο σου είναι πολύ ενδιαφέρον.,1,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο σου είναι πολύ ενδιαφέρον.,1,Το βιβλίο σου είναι πολύ ενδιαφέρον.,1,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Τα βιβλία της είναι διασκεδαστικά.,0,Τα βιβλία της είναι πολύ ενδιαφέροντα.,0,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Το βιβλίο του είναι πολύ ενδιαφέρον.,0,Το βιβλίο του είναι εντυπωσιακό.,0
22,Τα παπούτσια σου είναι καινούρια.,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούργια.,0,Τα παπούτσια του είναι καινούργια.,0,Τα παπούτσια σου είναι καινούρια.,1,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια του είναι καινούργια.,0,Τα παπούτσια του είναι καινούργια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούργια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούργια.,0,Τα παπούτσια της είναι καινούρια.,0,Τα παπούτσια της είναι καινούργια.,0
23,Ο φάκελος του χάθηκε χθες.,Ο φάκελός της χάθηκε χθες.,0,Ο φάκελος της εξαφανίστηκε χθες.,0,Ο φάκελός του χάθηκε χθες.,0,Ο φάκελος του χάθηκε χθες.,1,Χθες έχασε το χαρτοφυλάκιο της.,0,Ο φάκελός της χάθηκε χθες.,0,Το χαρτοφύλακά της χάθηκε χθες.,0,Ο φάκελος του χάθηκε χθες.,1,Ο φάκελος του χάθηκε χθες.,1,Το φάκελό της χάθηκε χθες.,0,Χθες έχασε τον φάκελό της.,0,Τα αρχεία της εξαφανίστηκαν χθες.,0,Το αρχείο της χάθηκε χθες.,0,Ο φάκελός της χάθηκε χθες.,0,Το αρχείο του χάθηκε χθες.,0,Το αρχείο του χάθηκε χθες.,0
24,Κάποια από τις δικηγόρους παραιτήθηκε.,Ένας από τους δικηγόρους παραιτήθηκε.,0,Ένας από τους δικηγόρους παραιτήθηκε.,0,Ένας από τους δικηγόρους παραιτήθηκε.,0,Μια δικηγόρος παραιτήθηκε.,0,Μία από τις δικηγόρες παραιτήθηκε.,0,Μια δικηγόρος παραιτήθηκε.,0,Μια δικηγόρος παραιτήθηκε.,0,Ένας από τους δικηγόρους μου παραιτήθηκε.,0,Μία από τις δικηγόρες παραιτήθηκε.,0,Ένας από τους δικηγόρους παραιτήθηκε.,0,Ένας από τους δικηγόρους παραιτήθηκε.,0,Ένας δικηγόρος παραιτήθηκε.,0,Μια δικηγόρος παραιτήθηκε.,0,Μια δικηγόρος παραιτήθηκε.,0,Μια γυναίκα δικηγόρος παραιτήθηκε.,0,Ένας από τους δικηγόρους παραιτήθηκε.,0
