ID,NLLB_Output,NLLB_SelfBackTrans_English,NLLB_SelfScore_English,NLLB_SelfBackTrans_Swedish,NLLB_SelfScore_Swedish,NLLB_SelfBackTrans_Turkish,NLLB_SelfScore_Turkish,NLLB_SelfBackTrans_French,NLLB_SelfScore_French,NLLB_SelfBackTrans_German,NLLB_SelfScore_German,NLLB_SelfBackTrans_Russian,NLLB_SelfScore_Russian,NLLB_SelfBackTrans_Polish,NLLB_SelfScore_Polish,NLLB_SelfBackTrans_Hungarian,NLLB_SelfScore_Hungarian,NLLB_SelfBackTrans_Italian,NLLB_SelfScore_Italian,NLLB_SelfBackTrans_Albanian,NLLB_SelfScore_Albanian,NLLB_SelfBackTrans_Chinese,NLLB_SelfScore_Chinese,NLLB_SelfBackTrans_Japanese,NLLB_SelfScore_Japanese,NLLB_SelfBackTrans_Arabic,NLLB_SelfScore_Arabic,NLLB_SelfBackTrans_Hebrew,NLLB_SelfScore_Hebrew,NLLB_SelfBackTrans_Hindi,NLLB_SelfScore_Hindi,NLLB_SelfBackTrans_Swahili,NLLB_SelfScore_Swahili
11,La arquitecta diseñó el nuevo edificio.,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó un nuevo edificio.,0,El arquitecto diseñó un nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,Los arquitectos han diseñado un nuevo edificio.,0,El arquitecto diseñó un nuevo edificio.,0,El arquitecto diseñó el nuevo edificio.,0,La arquitecta diseñó el nuevo edificio.,1,El arquitecto diseñó el nuevo edificio.,0,Un arquitecto construyó un nuevo edificio.,0
12,La ingeniera resolvió el problema técnico.,El ingeniero resolvió el problema técnico.,0,El ingeniero resolvió el problema técnico.,0,El ingeniero resolvió el problema técnico.,0,La ingeniera ha resuelto el problema técnico.,0,La ingeniera resolvió el problema técnico.,1,El ingeniero resolvió el problema técnico.,0,La ingeniera ha resuelto un problema técnico.,0,El ingeniero resolvió el problema técnico.,0,El ingeniero ha resuelto el problema técnico.,0,El ingeniero resolvió el problema técnico.,0,Los ingenieros resolvieron el problema técnico.,0,Los ingenieros resolvieron un problema técnico.,0,La ingeniera resolvió el problema técnico.,1,La ingeniera resolvió el problema técnico.,1,El ingeniero resolvió el problema técnico.,0,El ingeniero resolvió un problema técnico.,0
13,Los médicos trabajaron toda la noche.,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los doctores trabajaron toda la noche.,0,Las doctores trabajaron toda la noche.,0,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los doctores trabajaron toda la noche.,0,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1,Los médicos trabajaron toda la noche.,1
14,¿Estás cansada después del trabajo?,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansada después del trabajo?,1,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Estás cansado después del trabajo?,0,¿Está cansado después del trabajo?,0
15,¿Están cansados por el viaje?,¿Estás cansado del viaje?,0,¿Están cansados por el viaje?,1,¿Estás cansado de viajar?,0,¿Estás cansado del viaje?,0,¿Están cansados del viaje?,0,¿Estás cansado del viaje?,0,¿Están cansados del viaje?,0,¿Están cansados de viajar?,0,¿Están cansados del viaje?,0,¿Están cansados del viaje?,0,¿Estáis cansados de vuestro viaje?,0,¿Estás cansado de viajar?,0,¿Están cansados de viajar?,0,¿Están cansados del viaje?,0,¿Estás cansado del viaje?,0,¿Están cansados del viaje?,0
16,Los maestros estaban entusiasmados con el nuevo programa.,Los maestros estaban entusiasmados con el nuevo programa.,1,Los maestros estaban entusiasmados con el nuevo programa.,1,Los maestros estaban entusiasmados con el nuevo programa.,1,Las maestras estaban entusiasmadas con el nuevo programa.,0,Las maestras estaban entusiasmadas con el nuevo programa.,0,Los maestros estaban encantados con el nuevo programa.,0,Las maestras estaban entusiasmadas con el nuevo programa.,0,Los maestros estaban entusiasmados con el nuevo programa.,1,Los maestros estaban entusiasmados con el nuevo programa.,1,Los maestros estaban entusiasmados con el nuevo programa.,1,Los profesores están entusiasmados con el nuevo proyecto.,0,Los maestros estaban entusiasmados con el nuevo programa.,1,Las maestras estaban entusiasmadas con el nuevo programa.,0,Los maestros estaban entusiasmados con el nuevo programa.,1,Los maestros estaban entusiasmados con el nuevo programa.,1,Los profesores estaban encantados con el nuevo programa.,0
17,El científico estaba satisfecho con los resultados.,El científico estaba satisfecho con los resultados.,1,El investigador estaba satisfecho con los resultados.,0,El científico estaba satisfecho con los resultados.,1,La científica estaba satisfecha con los resultados.,0,La científica estaba satisfecha con los resultados.,0,El científico estaba satisfecho con los resultados.,1,El científico estaba satisfecho con los resultados.,1,El científico estaba satisfecho con los resultados.,1,La científica estaba satisfecha con los resultados.,0,La científica estaba satisfecha con los resultados.,0,Los científicos están satisfechos con los resultados.,0,Los científicos estaban satisfechos con los resultados.,0,La científica estaba satisfecha con los resultados.,0,La científica estaba satisfecha con los resultados.,0,Estaba satisfecha con los resultados científicos.,0,El científico estaba satisfecho con los resultados.,1
18,Su libro es muy interesante.,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Sus libros son muy interesantes.,0,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1,Su libro es muy interesante.,1
19,Sus zapatos son nuevos.,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Los zapatos son nuevos.,0,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1,Sus zapatos son nuevos.,1
20,Su expediente se perdió ayer.,Su carpeta se perdió ayer.,0,Su carpeta desapareció ayer.,0,Su carpeta desapareció ayer.,0,Su expediente se perdió ayer.,1,Su carpeta se perdió ayer.,0,Su carpeta se perdió ayer.,0,Su cartera desapareció ayer.,0,Su carpeta se perdió ayer.,0,Su carpeta se perdió ayer.,0,Su expediente se perdió ayer.,1,Su carpeta se perdió ayer.,0,Su carpeta desapareció ayer.,0,Su archivo se perdió ayer.,0,Su carpeta se perdió ayer.,0,Su carpeta se perdió ayer.,0,Su carpeta se perdió ayer.,0
21,Su bolso está en el escritorio.,Su bolso está en la oficina.,0,Su maleta está en el despacho.,0,Su maleta está en la oficina.,0,Su bolso está en la oficina.,0,Su bolso está en la oficina.,0,Su bolso está en la oficina.,0,Su bolso está en el despacho.,0,Su maleta está en la oficina.,0,Su bolso está en la oficina.,0,Su bolso está en la oficina.,0,Su maleta está en la oficina.,0,Su maleta está en la oficina.,0,Su maleta está en la oficina.,0,Su cartera está en la oficina.,0,Su maleta está en la oficina.,0,Su bolso está en la oficina.,0
22,Una de las abogadas renunció.,Uno de los abogados renunció.,0,Uno de los abogados renunció.,0,Uno de los abogados renunció.,0,Una de las abogadas renunció.,1,Una de las abogadas renunció.,1,Uno de los abogados renunció.,0,Una de las abogadas renunció.,1,Uno de los abogados renunció.,0,Una de las abogadas renunció.,1,Uno de los abogados renunció.,0,Uno de los abogados ha renunciado.,0,Uno de los abogados renunció.,0,Una abogada renunció.,0,Una abogada renunció.,0,Uno de los abogados renunció.,0,Uno de los abogados renunció.,0
23,Algunos de los ingenieros viajaron al extranjero.,Algunos de los ingenieros viajaron al extranjero.,1,Algunos de los ingenieros viajaron al extranjero.,1,Algunos de los ingenieros viajaron al extranjero.,1,Algunas de las ingenieras viajaron al extranjero.,0,Algunas de las ingenieras viajaron al extranjero.,0,Algunos de los ingenieros se fueron al extranjero.,0,Algunas de las ingenieras viajaron al extranjero.,0,Algunos ingenieros viajaron al extranjero.,0,Algunas de las ingenieras viajaron al extranjero.,0,Algunos de los ingenieros viajaron al extranjero.,1,Algunos ingenieros viajaron al extranjero.,0,Algunos de los ingenieros viajaron al extranjero.,1,Algunas ingenieras viajaron al extranjero.,0,Algunos de los ingenieros viajaron al extranjero.,1,Algunos ingenieros viajaron al extranjero.,0,Algunos ingenieros viajaron al extranjero.,0
24,Algunas de las profesores participaron en la conferencia.,Algunos de los profesores participaron en la conferencia.,0,Algunos de los profesores participaron en la conferencia.,0,Algunos de los profesores asistieron a la conferencia.,0,Algunas de las profesores participaron en la conferencia.,1,Algunas de las profesores participaron en la conferencia.,1,Algunos de los profesores participaron en la conferencia.,0,Algunas de las profesores asistieron a la conferencia.,0,Algunos profesores participaron en la conferencia.,0,Algunas de las profesores participaron en la conferencia.,1,Algunos de los profesores asistieron a la conferencia.,0,Algunos profesores participaron en la conferencia.,0,Algunos profesores participaron en la conferencia.,0,Algunas profesoras participaron en la conferencia.,0,Algunas de las profesoras asistieron a la conferencia.,0,Algunos profesores asistieron a la conferencia.,0,Algunos profesores participaron en la reunión.,0
25,Ella misma reparó el auto.,Ella misma reparó el coche.,0,Ella misma reparó el auto.,1,Él mismo reparó el coche.,0,Ella misma reparó el coche.,0,Ella misma reparó el coche.,0,Ella misma reparó el coche.,0,Ella misma ha reparado el auto.,0,Él mismo reparó el auto.,0,Ella misma reparó el coche.,0,Ella misma reparó el auto.,1,Ella ha reparado el coche ella misma.,0,Ella misma reparó el coche.,0,Ella misma arregló el coche.,0,Ella misma arregló el auto.,0,Él mismo reparó el coche.,0,Él mismo arregló el coche.,0
26,Ellos mismos organizaron el evento.,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Las mujeres organizaron sus propias actividades.,0,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Ellos mismos organizaron el evento.,1,Él mismo organizó el evento.,0,Ellos mismos organizaron el evento.,1
27,Los que participaron en el programa estaban contentos.,Los que participaron en el programa estuvieron satisfechos.,0,Los que participaron en el programa estaban contentos.,1,Los asistentes al programa estaban contentos.,0,Las que participaron en el programa estaban satisfechas.,0,Los que participaron en el programa estaban satisfechos.,0,Los que participaron en el programa estaban satisfechos.,0,Las que participaron en el programa estaban satisfechas.,0,Los que participaron en el programa estaban satisfechos.,0,Las que participaron en el programa estaban satisfechas.,0,Las que participaron en el programa estaban satisfechas.,0,Las personas que participaron en el proyecto están muy satisfechas.,0,Las personas que participaron en el programa estaban satisfechas.,0,Los que participaron en el programa estuvieron satisfechos.,0,Los que participaron en el programa estaban contentos.,1,Los que participaron en el programa estuvieron satisfechos.,0,Los que participaron en el programa estaban satisfechos.,0
28,Científicos como él no son fáciles de encontrar.,Estos científicos no son fáciles de encontrar.,0,Científicos como él no son fáciles de encontrar.,1,No es fácil encontrar científicos como él.,0,Estos científicos no son fáciles de encontrar.,0,Estas científicas no son fáciles de encontrar.,0,Estos científicos no son fáciles de encontrar.,0,Científicas como ella no son fáciles de encontrar.,0,Científicos como él no son fáciles de encontrar.,1,Estas científicas no son fáciles de encontrar.,0,Científicos como éstos no son fáciles de encontrar.,0,Un científico como él no es fácil de encontrar.,0,Un científico así no es fácil de encontrar.,0,Esos mundos no son fáciles de encontrar.,0,Científicas como ella no son fáciles de encontrar.,0,Estos científicos no son fáciles de encontrar.,0,Es difícil encontrar a esos científicos.,0
29,Las personas que trabajan aquí son excelentes.,Los que trabajan aquí son excelentes.,0,La gente que trabaja aquí es excelente.,0,La gente que trabaja aquí es excelente.,0,Las que trabajan aquí son excelentes.,0,Los que trabajan aquí son excelentes.,0,La gente que trabaja aquí es excelente.,0,Las que trabajan aquí son excelentes.,0,La gente que trabaja aquí es excelente.,0,Las que trabajan aquí son excelentes.,0,Los que trabajan aquí son excelentes.,0,La gente que trabaja aquí es muy buena.,0,La gente que trabaja aquí es maravillosa.,0,Los que trabajan aquí son excelentes.,0,Los que trabajan aquí son excelentes.,0,Las personas que trabajan aquí son excelentes.,1,Los que trabajan aquí son los mejores.,0
30,Ella misma presentó la obra.,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Él mismo presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Él mismo presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma anunció el proyecto.,0,Ella misma presentó el proyecto.,0,Ella misma presentó el proyecto.,0,Él mismo presentó el proyecto.,0,Él mismo presentó el proyecto.,0
31,Ella terminó el proyecto sola.,Ella terminó el proyecto sola.,1,Ella terminó el proyecto sola.,1,Terminó el proyecto solo.,0,Ella terminó el proyecto sola.,1,Ella terminó el proyecto sola.,1,Ella terminó el proyecto sola.,1,Ella terminó el proyecto sola.,1,Terminó el proyecto solo.,0,Terminó el proyecto sola.,0,Ella completó el proyecto sola.,0,Ella completó el proyecto sola.,0,Ella terminó el proyecto sola.,1,Terminó el proyecto sola.,0,Ella terminó el proyecto sola.,1,Él completó el proyecto solo.,0,Terminó el proyecto solo.,0
32,Ellos mismos decidieron el cambio.,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron cambiar.,0,Ellos mismos decidieron cambiar.,0,Ellos mismos decidieron el cambio.,1,Ellos mismos decidieron por el cambio.,0,Ellos mismos decidieron el cambio.,1,Ellos mismos han decidido cambiar.,0,Ellos mismos decidieron cambiar.,0,Ellos mismos decidieron cambiar.,0,Ellos mismos decidieron el cambio.,1,Él mismo decidió el cambio.,0,Ellos mismos decidieron el cambio.,1
33,El uno al otro siempre se ayudan.,Uno siempre ayuda al otro.,0,Siempre se ayudan el uno al otro.,0,Uno siempre ayuda al otro.,0,Una siempre ayuda a la otra.,0,Uno siempre ayuda al otro.,0,Una siempre ayuda a la otra.,0,Una siempre ayuda a la otra.,0,Siempre se ayudan el uno al otro.,0,Uno siempre ayuda al otro.,0,Siempre se ayudan entre sí.,0,Ellos siempre se ayudan unos a otros.,0,Siempre nos ayudamos unos a otros.,0,Siempre se ayudan las unas a las otras.,0,Uno siempre ayuda al otro.,0,Siempre se ayudan entre sí.,0,Siempre se apoyan el uno al otro.,0
34,Se apoyan mutuamente en el trabajo.,Se apoyan mutuamente en el trabajo.,1,Se apoyan en el trabajo.,0,Ahí se apoyan el uno al otro.,0,Las unas apoyan a las otras en el trabajo.,0,Se apoyan mutuamente en el trabajo.,1,Se apoyan en el trabajo.,0,Se apoyan mutuamente en el trabajo.,1,Se apoyan en el trabajo.,0,Las unas apoyan a las otras en el trabajo.,0,Se apoyan mutuamente en el trabajo.,1,Se apoyan mutuamente en su trabajo.,0,Nos apoyamos mutuamente en nuestro trabajo.,0,Se apoyan mutuamente en el trabajo.,1,Se apoyan mutuamente en el trabajo.,1,Se apoyan mutuamente en el trabajo.,1,Se apoyan mutuamente en el trabajo.,1
35,¿Cuál de las ingenieras trabaja hoy?,¿Cuál de los ingenieros está de guardia hoy?,0,¿Cuál de los ingenieros trabaja hoy?,0,¿Cuál de los ingenieros está de guardia hoy?,0,¿Cuál de las ingenieras está de guardia hoy?,0,¿Cuál de las ingenieras está de guardia hoy?,0,¿Quién de los ingenieros está de guardia hoy?,0,¿Cuál de las ingenieras está de guardia hoy?,0,¿Qué ingeniero está de guardia hoy?,0,¿Cuál de las ingenieras está de guardia hoy?,0,¿Cuál de los ingenieros está de servicio hoy?,0,¿Qué ingeniero está de guardia hoy?,0,¿Quién es el ingeniero de turno hoy?,0,¿Cuál de las ingenieras está de turno hoy?,0,¿Cuál de las ingenieras se prepara hoy?,0,¿Qué ingeniero está de servicio hoy?,0,¿Qué tipo de ingeniero trabaja hoy en día?,0
36,¿Cuáles de las ingenieras presentarán el proyecto?,¿Cuál de los ingenieros presentará el proyecto?,0,¿Cuáles de los ingenieros presentarán el proyecto?,0,¿Cuáles de los ingenieros presentarán el proyecto?,0,¿Cuáles de las ingenieras presentarán el proyecto?,1,¿Cuáles de las ingenieras presentarán el proyecto?,1,¿Quién de los ingenieros presentará el proyecto?,0,¿Cuáles de las ingenieras presentarán el proyecto?,1,¿Qué ingenieros presentan el proyecto?,0,¿Cuáles de las ingenieras presentarán el proyecto?,1,¿Cuáles de los ingenieros presentarán el proyecto?,0,¿Qué ingenieros presentarán el proyecto?,0,¿Qué ingenieros anunciarán el proyecto?,0,¿Cuál de las ingenieras presentará el proyecto?,0,¿Cuáles de los ingenieros presentarán el proyecto?,0,¿Qué ingenieros presentarán el proyecto?,0,¿Cuáles son los ingenieros que presentarán el proyecto?,0
37,Yo mismo repararé el auto.,Yo mismo arreglaré el coche.,0,Yo mismo arreglaré el auto.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el auto.,1,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el auto.,1,Yo mismo arreglaré el coche.,0,Yo mismo repararé el coche.,0,Yo mismo repararé el coche.,0
38,Nosotros mismos organizaremos el evento.,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Organizaremos el evento nosotros mismos.,0,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Nosotros organizaremos el evento.,0,Nosotros organizaremos el evento.,0,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Nosotros organizaremos el evento.,0,Nosotros organizaremos nuestras propias actividades.,0,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1,Nosotros mismos organizaremos el evento.,1
39,Puedes ver esas marcas ahí.,¿Ves esos sellos ahí?,0,¿Ves esos sellos ahí?,0,¿Ves las marcas ahí?,0,¿Ves esas pastillas ahí?,0,¿Ves esos sellos ahí?,0,¿Ves esos sellos ahí?,0,¿Ves ese sello ahí?,0,¿Ves esos sellos ahí?,0,¿Ves esos sellos ahí?,0,¿Ves esos sellos ahí?,0,¿Ves esos sellos por ahí?,0,¿Ves ese sello ahí?,0,¿Ves esos sellos ahí?,0,¿Ves esas marcas ahí?,0,¿Ves esos sellos ahí?,0,Usted ve el sello allí.,0
40,Las moscas del tiempo,Las moscas del año,0,Las moscas del año,0,Las moscas del año,0,Las moscas del año,0,Las moscas del año,0,Las moscas del año,0,Las moscas del año,0,Las primeras del año,0,Las moscas del año,0,Las mías del año,0,Huevos anuales,0,Es el año de la tortuga.,0,Las moscas del año.,0,Las moscas del año,0,Las moscas del año,0,Las semillas de un año,0
41,Las moscas del tiempo,Los vuelos del tiempo,0,Las moscas del tiempo,1,Las moscas del tiempo,1,Las moscas del tiempo,1,El tiempo vuela,0,Las moscas del tiempo,1,Las moscas del tiempo,1,Los mejores del tiempo,0,Las moscas del tiempo,1,Las flechas del tiempo,0,El misterio del tiempo,0,Es el fin del tiempo.,0,Las moscas del tiempo.,0,Las moscas del tiempo,1,Las moscas del tiempo,1,El paso del tiempo,0
