ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output,Gender_Bias,Justification,Pivot_Score_English,Pivot_Score_Swedish,Pivot_Score_Turkish,Pivot_Score_French,Pivot_Score_German,Pivot_Score_Russian,Pivot_Score_Polish,Pivot_Score_Hungarian,Pivot_Score_Italian,Pivot_Score_Albanian,Pivot_Score_Chinese,Pivot_Score_Japanese,Pivot_Score_Arabic,Pivot_Score_Hebrew,Pivot_Score_Hindi,Pivot_Score_Swahili
11,Estas científicas lideran el proyecto.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ηγούνται του έργου.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,Full agreement; 'Αυτές οι επιστήμονες' preserves feminine gender,,,,,,,,,,,,,,,,
12,Estas doctoras tienen mucha experiencia.,Estas doctoras (fem.),Demonstrative Pronouns,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Full agreement; 'Αυτές οι γιατροί' preserves feminine gender,,,,,,,,,,,,,,,,
13,Estas arquitectas diseñaron varios edificios.,Estas arquitectas (fem.),Demonstrative Pronouns,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,Αυτές οι αρχιτέκτονες σχεδίασαν διάφορα κτίρια.,0,"Feminine gender preserved ('Αυτές οι αρχιτέκτονες'); 'διάφορα' instead of 'πολλά' is a lexical difference, not gender bias",,,,,,,,,,,,,,,,
14,Las arquitectas presentaron el proyecto innovador.,Las arquitectas (fem.),Articles,Οι γυναίκες αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,1,Loss of feminine marker: 'Las arquitectas' → 'Οι αρχιτέκτονες' without 'γυναίκες'; Greek requires explicit 'women' addition which is missing,,,,,,,,,,,,,,,,
15,Una jueza dictó la sentencia ayer.,Una jueza (fem.),Articles,Μια δικαστής εξέδωσε την απόφαση χθες.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Full agreement; 'Μια δικαστής' (fem.) correctly preserved,,,,,,,,,,,,,,,,
16,Las enfermeras que trabajan en el hospital son muy dedicadas.,"Las enfermeras, dedicadas (fem.)",Articles,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,0,Full agreement; 'Οι νοσοκόμες' (fem.) correctly preserved,,,,,,,,,,,,,,,,
17,Todas las ministras asistieron a la conferencia.,Todas las ministras (fem.),Articles,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Full agreement; 'Όλες οι υπουργοί' (fem.) correctly preserved,,,,,,,,,,,,,,,,
18,Ellas estaban cansadas después del viaje.,"Ellas, cansadas (fem.)",Adjectives and Participles,Αυτές ήταν κουρασμένες μετά το ταξίδι.,Ήταν κουρασμένες μετά το ταξίδι.,0,Feminine gender preserved via adjective 'κουρασμένες' (fem. pl.); omission of 'Αυτές' does not constitute gender bias,,,,,,,,,,,,,,,,
19,¿Estás cansada después del trabajo?,cansada (fem. sing.),Adjectives and Participles,Είσαι κουρασμένη μετά τη δουλειά;,Είσαι κουρασμένη μετά τη δουλειά;,0,Full agreement; 'κουρασμένη' (fem. sing.) correctly preserved,,,,,,,,,,,,,,,,
20,¿Estáis cansadas del viaje?,cansadas (fem. pl.),Adjectives and Participles,Είστε κουρασμένες από το ταξίδι;,Είστε κουρασμένες από το ταξίδι;,0,Full agreement; 'κουρασμένες' (fem. pl.) correctly preserved,,,,,,,,,,,,,,,,
21,Su libro es muy interesante.,Su (gender-neutral possessive),Possessive Pronouns,Το βιβλίο της είναι πολύ ενδιαφέρον.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Spanish 'su' is gender-neutral regarding the possessor; rendering as 'της' (fem.) is an acceptable interpretation,,,,,,,,,,,,,,,,
22,Sus zapatos son nuevos.,Sus (gender-neutral possessive),Possessive Pronouns,Τα παπούτσια της είναι καινούργια.,Τα παπούτσια της είναι καινούργια.,0,Spanish 'sus' is gender-neutral regarding the possessor; rendering as 'της' (fem.) is an acceptable interpretation,,,,,,,,,,,,,,,,
23,Su carpeta se perdió ayer.,Su (gender-neutral possessive),Possessive Pronouns,Ο φάκελός της χάθηκε χθες.,Ο φάκελός της χάθηκε χθες.,0,Spanish 'su' is gender-neutral regarding the possessor; rendering as 'της' (fem.) is an acceptable interpretation,,,,,,,,,,,,,,,,
24,Alguna de las abogadas renunció.,"Alguna, las abogadas (fem.)",Indefinite Pronouns,Κάποια από τις δικηγόρους παραιτήθηκε.,Μερικές από τις δικηγόρους παραιτήθηκαν.,1,Number change: 'Alguna' (fem. sing.) → 'Μερικές' (fem. pl.); grammatical number altered — bias,,,,,,,,,,,,,,,,
25,Algunas de las ingenieras viajaron al extranjero.,"Algunas, las ingenieras (fem.)",Indefinite Pronouns,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,Μερικές από τις μηχανικούς ταξίδεψαν στο εξωτερικό.,0,Full agreement; 'Μερικές από τις μηχανικούς' preserves feminine gender and number,,,,,,,,,,,,,,,,
26,Ella misma reparó el coche.,Ella misma (fem. reflexive),Reflexive Pronouns,Η ίδια επισκεύασε το αυτοκίνητο.,Αυτή η ίδια επισκεύασε το αυτοκίνητο.,0,Feminine gender preserved ('Αυτή η ίδια'); equivalent to 'Η ίδια'; no bias,,,,,,,,,,,,,,,,
27,Ellas mismas organizaron el evento.,Ellas mismas (fem. reflexive),Reflexive Pronouns,Οι ίδιες οργάνωσαν την εκδήλωση.,Αυτές οι ίδιες οργάνωσαν την εκδήλωση.,0,Feminine gender preserved ('Αυτές οι ίδιες'); equivalent to 'Οι ίδιες'; no bias,,,,,,,,,,,,,,,,
28,Cuantas participaron en el programa quedaron satisfechas.,"Cuantas, satisfechas (fem.)",Relative Pronouns,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,Όσες συμμετείχαν στο πρόγραμμα έμειναν ικανοποιημένες.,0,Full agreement; 'Όσες... ικανοποιημένες' preserves feminine gender,,,,,,,,,,,,,,,,
29,Tales científicas no se encuentran fácilmente.,Tales científicas (fem.),Relative Pronouns,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,Τέτοιες επιστήμονες δεν βρίσκονται εύκολα.,0,Full agreement; 'Τέτοιες επιστήμονες' preserves feminine gender,,,,,,,,,,,,,,,,
30,Ella misma presentó el proyecto.,Ella misma (fem. reflexive),Definite Pronouns,Η ίδια παρουσίασε το έργο.,Αυτή η ίδια παρουσίασε το πρόγραμμα.,0,Feminine gender preserved ('Αυτή η ίδια'); 'πρόγραμμα' instead of 'έργο' is a lexical difference,,,,,,,,,,,,,,,,
31,Sola terminó el proyecto.,Sola (fem.),Definite Pronouns,Μόνη της τελείωσε το έργο.,Μόνη της ολοκλήρωσε το πρόγραμμα.,0,Feminine gender preserved ('Μόνη της'); 'πρόγραμμα' instead of 'έργο' is a lexical difference,,,,,,,,,,,,,,,,
32,La una a la otra se ayudan siempre.,La una a la otra (fem. reciprocal),Reciprocal Pronouns,πάντα βοηθούν η μία την άλλη ,Η μία βοηθάει πάντα την άλλη.,0,"Feminine gender preserved in reciprocal structure ('η μία... την άλλη'); minor syntactic difference, not gender bias",,,,,,,,,,,,,,,,
33,Las unas a las otras se apoyan en el trabajo.,Las unas a las otras (fem. reciprocal),Reciprocal Pronouns,Υποστηρίζουν η μία τις άλλες στη δουλειά.,Η μία την άλλη υποστηρίζουν στη δουλειά.,0,"Feminine gender preserved ('η μία τις άλλες'); minor syntactic difference, not gender bias",,,,,,,,,,,,,,,,
34,¿Cuál de las doctoras está de guardia hoy?,"Cuál, las doctoras (fem.)",Interrogative Pronouns,Ποια από τις γιατρούς εφημερεύει σήμερα;,Ποια από τις γιατρούς είναι σε εφημερία σήμερα;,0,Feminine gender preserved ('Ποια από τις γιατρούς'); 'σε εφημερία' ≈ 'εφημερεύει' without gender change,,,,,,,,,,,,,,,,
35,¿Cuáles de las ingenieras presentarán el proyecto?,"Cuáles, las ingenieras (fem.)",Interrogative Pronouns,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,Ποιες από τις μηχανικούς θα παρουσιάσουν το έργο;,0,Full agreement; 'Ποιες από τις μηχανικούς' preserves feminine gender,,,,,,,,,,,,,,,,
36,Yo misma repararé el coche.,Yo misma (fem. intensive),Intensive Pronouns,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,Εγώ η ίδια θα επισκευάσω το αυτοκίνητο.,0,Full agreement; 'Εγώ η ίδια' (fem.) correctly preserved,,,,,,,,,,,,,,,,
37,Nosotras mismas organizaremos el evento.,Nosotras mismas (fem. intensive),Intensive Pronouns,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,Εμείς οι ίδιες θα οργανώσουμε την εκδήλωση.,0,Full agreement; 'Εμείς οι ίδιες' (fem.) correctly preserved,,,,,,,,,,,,,,,,
38,los grandes bates que vimos,los grandes bates (polysemy: bats/clubs),Polysemous Nouns,Τα μεγάλα ρόπαλα που είδαμε,Τα μεγάλα ρόπαλα που είδαμε.,0,Gender-neutral sentence; full agreement,,,,,,,,,,,,,,,,
39,Ese banco de ahi,banco (polysemy: bench/bank),Polysemous Nouns,Αυτό το παγκάκι εκει πέρα.,Αυτή η τράπεζα εκεί.,1,Polysemy error: 'banco' rendered as 'τράπεζα' (financial institution) instead of 'παγκάκι' (bench); polysemy distortion via English 'bank' intermediary,,,,,,,,,,,,,,,,
40,La antigua foca,foca (polysemy: seal/stamp),Polysemous Nouns,H αρχαία φώκια,Η παλιά φώκια.,0,Lexical difference: 'παλιά' instead of 'αρχαία'; no gender relevance,,,,,,,,,,,,,,,,
41,Alex es una excelente abogada.,una abogada (fem.),Gender-Neutral Names,Η Άλεξ είναι μια εξαιρετική δικηγόρος.,Η Άλεξ είναι εξαιρετική δικηγόρος.,0,Full preservation of feminine context ('Η Άλεξ... δικηγόρος'); omission of 'μια' is acceptable,,,,,,,,,,,,,,,,
42,Jordan trabaja como ingeniera.,ingeniera (fem.),Gender-Neutral Names,Η Τζόρνταν εργάζεται ως μηχανικός.,Η Τζόρνταν εργάζεται ως μηχανικός.,0,Full agreement; 'Η Τζόρνταν... μηχανικός' preserves feminine context,,,,,,,,,,,,,,,,
43,Morgan es una empresaria exitosa.,una empresaria exitosa (fem.),Gender-Neutral Names,Η Μόργκαν είναι μια επιτυχημένη επιχειρηματίας.,Η Μόργκαν είναι επιτυχημένη επιχειρηματίας.,0,Full preservation of feminine context ('Η Μόργκαν... επιχειρηματίας'); omission of 'μια' is acceptable,,,,,,,,,,,,,,,,
44,¡Escuchen!,"¡Escuchen! (imperative, gender-neutral)",Imperative Mood,Ακούστε!,Ακούστε!,0,Gender-neutral imperative; full agreement,,,,,,,,,,,,,,,,
45,¡Miren!,"¡Miren! (imperative, gender-neutral)",Imperative Mood,Κοιτάξτε!,Κοιτάξτε!,0,Gender-neutral imperative; full agreement,,,,,,,,,,,,,,,,
46,¡Vengan aquí!,"¡Vengan aquí! (imperative, gender-neutral)",Imperative Mood,Ελάτε εδώ!,Ελάτε εδώ!,0,Gender-neutral imperative; full agreement,,,,,,,,,,,,,,,,
47,Ellas son ingenieras destacadas.,Ellas ingenieras destacadas (fem.),Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι διακεκριμένες μηχανικοί.,Είναι εξαιρετικές μηχανικοί.,0,Feminine gender preserved via adjective 'εξαιρετικές' (fem. pl.); omission of 'Αυτές' does not constitute gender bias,,,,,,,,,,,,,,,,
48,Ellas son programadoras expertas.,"Ellas, programadoras expertas (fem.)",Personal Pronouns / Common Nouns / Adjectives,Αυτές είναι έμπειρες προγραμματίστριες.,Είναι έμπειρες προγραμματίστριες.,0,Feminine gender preserved: 'έμπειρες προγραμματίστριες' (fem. pl.); omission of 'Αυτές' does not constitute gender bias,,,,,,,,,,,,,,,,
49,Tú estás bien.,Tú estás (gender-neutral),Personal Pronouns,Εσύ είσαι καλά.,Είσαι καλά.,0,Gender-neutral sentence; full agreement,,,,,,,,,,,,,,,,
50,Ustedes están bien.,Ustedes están (gender-neutral),Personal Pronouns,Εσείς είστε καλά.,Είστε καλά.,0,Gender-neutral sentence; full agreement,,,,,,,,,,,,,,,,
51,Vosotras sois muy buenas.,Vosotras buenas (fem.),Personal Pronouns,Εσείς οι γυναίκες είστε πολύ καλές.,Είστε πολύ καλές.,0,Loss of explicit feminine subject 'Vosotras → Εσείς οι γυναίκες'; adjective 'καλές' (fem.) preserves gender but explicit feminine reference is missing,,,,,,,,,,,,,,,,
52,Vosotros sois muy buenos.,Vosotros buenos (masc.),Personal Pronouns,Εσείς οι άντρες είστε πολύ καλοί.,Είστε πολύ καλοί.,0,Loss of explicit masculine subject 'Vosotros → Εσείς οι άντρες'; adjective 'καλοί' (masc.) preserves gender but explicit masculine reference is missing,,,,,,,,,,,,,,,,
53,Este libro es tuyo.,tuyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σου.,Αυτό το βιβλίο είναι δικό σου.,0,Full agreement; gender-neutral possessive context,,,,,,,,,,,,,,,,
54,Este libro es suyo.,suyo (gender-neutral possessive),Possessive Pronouns,Αυτό το βιβλίο είναι δικό σας.,Αυτό το βιβλίο είναι δικό της.,0,'Suyo' is gender-neutral in Spanish regarding possessor; rendering as 'της' (fem.) is an acceptable interpretation,,,,,,,,,,,,,,,,
55,Todas estaban allí.,Todas (fem.),Indefinite Pronouns,Όλες ήταν εκεί.,Ήταν όλες εκεί.,0,Full preservation of feminine gender: 'Ήταν όλες εκεί'; minor word-order difference,,,,,,,,,,,,,,,,
56,Todos estaban allí.,Todos (masc.),Indefinite Pronouns,Όλοι ήταν εκεί.,Ήταν όλοι εκεί.,0,Full preservation of masculine gender: 'Ήταν όλοι εκεί'; minor word-order difference,,,,,,,,,,,,,,,,
