ID,Source_Spanish,Gender_Bias_Focus,Category,Gold_Greek,MT_Output_Greek,Gender_Bias,Justification,Error_Gender_Generalization,Error_Gender_Change,Error_Tense_Change,Error_Person_Change,Error_Number_Change,Error_Pronoun_Type_Change,Error_Noun_Meaning_Change,Pivot_English_Translation,Pivot_English_BackTrans_Greek,Pivot_English_Score,Pivot_Swedish_Translation,Pivot_Swedish_BackTrans_Greek,Pivot_Swedish_Score,Pivot_Turkish_Translation,Pivot_Turkish_BackTrans_Greek,Pivot_Turkish_Score,Pivot_French_Translation,Pivot_French_BackTrans_Greek,Pivot_French_Score,Pivot_German_Translation,Pivot_German_BackTrans_Greek,Pivot_German_Score,Pivot_Russian_Translation,Pivot_Russian_BackTrans_Greek,Pivot_Russian_Score,Pivot_Polish_Translation,Pivot_Polish_BackTrans_Greek,Pivot_Polish_Score,Pivot_Hungarian_Translation,Pivot_Hungarian_BackTrans_Greek,Pivot_Hungarian_Score,Pivot_Italian_Translation,Pivot_Italian_BackTrans_Greek,Pivot_Italian_Score,Pivot_Albanian_Translation,Pivot_Albanian_BackTrans_Greek,Pivot_Albanian_Score,Pivot_Chinese_Translation,Pivot_Chinese_BackTrans_Greek,Pivot_Chinese_Score,Pivot_Japanese_Translation,Pivot_Japanese_BackTrans_Greek,Pivot_Japanese_Score,Pivot_Arabic_Translation,Pivot_Arabic_BackTrans_Greek,Pivot_Arabic_Score,Pivot_Hebrew_Translation,Pivot_Hebrew_BackTrans_Greek,Pivot_Hebrew_Score,Pivot_Hindi_Translation,Pivot_Hindi_BackTrans_Greek,Pivot_Hindi_Score,Pivot_Swahili_Translation,Pivot_Swahili_BackTrans_Greek,Pivot_Swahili_Score
11,Estas científicas lideran el proyecto.,Estas científicas (fem.),Demonstrative Pronouns,Αυτές οι επιστήμονες ηγούνται του έργου.,Αυτοί οι επιστήμονες ηγούνται του προγράμματος.,1,Gender change: 'Αυτές' (fem.) → 'Αυτοί' (masc.),0,1,0,0,0,0,0,These scientists lead the project.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,Dessa forskare leder projektet.,Αυτοί οι ερευνητές ηγούνται του έργου.,0,Bu bilim insanları projeyi yönetiyorlar.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,Ces scientifiques dirigent le projet.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,Diese Wissenschaftlerinnen leiten das Projekt.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,Эти учёные руководят проектом.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,Te naukowczynie kierują projektem.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,Ezek a tudósok vezetik a projektet.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,Queste scienziate dirigono il progetto.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,Këto shkencëtare drejtojnë projektin.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,这些科学家领导着这个项目。,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,これらの科学者がプロジェクトを率いています。,Αυτοί οι επιστήμονες ηγούνται του έργου.,0,هؤلاء العالمات يقدن المشروع.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,המדענות האלה מנהלות את הפרויקט.,Αυτές οι επιστήμονες ηγούνται του έργου.,0,ये महिला वैज्ञानिक परियोजना का नेतृत्व करती हैं।,Αυτές οι επιστήμονες ηγούνται του έργου.,0,Wanasayansi hawa wanaongoza mradi.,Αυτοί οι επιστήμονες ηγούνται του έργου.,0
12,Estas doctoras tienen mucha experiencia.,Estas doctoras (fem.),Demonstrative Pronouns,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Gender change: 'Αυτές' (fem.) → 'Αυτοί' (masc.),0,1,0,0,0,0,0,These doctors have a lot of experience.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Dessa läkare har mycket erfarenhet.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Bu doktorların çok deneyimi var.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Ces médecins ont beaucoup d'expérience.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Diese Ärztinnen haben viel Erfahrung.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Эти врачи имеют большой опыт.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Te lekarki mają duże doświadczenie.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Ezek az orvosok nagy tapasztalattal rendelkeznek.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,Queste dottoresse hanno molta esperienza.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Këto doktoreshat kanë shumë përvojë.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,这些医生有丰富的经验。,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,これらの医師は豊富な経験があります。,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1,هؤلاء الطبيبات لديهن خبرة كبيرة.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,הרופאות האלה בעלות ניסיון רב.,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,इन महिला डॉक्टरों के पास बहुत अनुभव है।,Αυτές οι γιατροί έχουν μεγάλη εμπειρία.,0,Madaktari hawa wana uzoefu mkubwa.,Αυτοί οι γιατροί έχουν μεγάλη εμπειρία.,1
13,Estas arquitectas diseñaron varios edificios.,Estas arquitectas (fem.),Demonstrative Pronouns,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Gender change: 'Αυτές' (fem.) → 'Αυτοί' (masc.),0,1,0,0,0,0,0,These architects designed several buildings.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Dessa arkitekter designade flera byggnader.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Bu mimarlar birçok bina tasarladılar.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Ces architectes ont conçu plusieurs bâtiments.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Diese Architektinnen entwarfen mehrere Gebäude.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Эти архитекторы спроектировали несколько зданий.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Te architektki zaprojektowały kilka budynków.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Ezek az építészek több épületet terveztek.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,Queste architette hanno progettato diversi edifici.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Këto arkitekte projektuan disa ndërtesa.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,这些建筑师设计了几栋建筑。,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,これらの建築家はいくつかの建物を設計しました。,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1,هؤلاء المهندسات المعماريات صممن عدة مباني.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,האדריכליות האלה תכננו מספר בניינים.,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,इन महिला वास्तुकारों ने कई इमारतें डिजाइन कीं।,Αυτές οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,0,Wasanifu hawa walibuni majengo kadhaa.,Αυτοί οι αρχιτέκτονες σχεδίασαν πολλά κτίρια.,1
14,Las arquitectas presentaron el proyecto innovador.,Las arquitectas (fem.),Articles,Οι γυναίκες αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο σχέδιο.,1,Loss of feminine marker 'οι γυναίκες αρχιτέκτονες' → 'οι αρχιτέκτονες' (gender-neutral in Greek),1,0,0,0,0,0,0,The architects presented the innovative project.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Arkitekterna presenterade det innovativa projektet.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Mimarlar yenilikçi projeyi sundular.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Les architectes ont présenté le projet innovant.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Die Architektinnen präsentierten das innovative Projekt.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Архитекторы представили инновационный проект.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Architektki przedstawiły innowacyjny projekt.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Az építészek bemutatták az innovatív projektet.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Le architette hanno presentato il progetto innovativo.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Arkitektet paraqitën projektin inovativ.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,建筑师们展示了创新项目。,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,建築家たちは革新的なプロジェクトを発表しました。,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,المهندسات المعماريات قدمن المشروع المبتكر.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,האדריכליות הציגו את הפרויקט החדשני.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,महिला वास्तुकारों ने नवीन परियोजना प्रस्तुत की।,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0,Wasanifu waliwasilisha mradi wa ubunifu.,Οι αρχιτέκτονες παρουσίασαν το καινοτόμο έργο.,0
15,Una jueza dictó la sentencia ayer.,Una jueza (fem.),Articles,Μια δικαστής εξέδωσε την απόφαση χθες.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Gender change: 'Μια' (fem.) → 'ένας' (masc.),0,1,0,0,0,0,0,A judge issued the sentence yesterday.,Ένας δικαστής εξέδωσε την ποινή χθες.,0,En domare dömde domen igår.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Bir yargıç dün kararı verdi.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Un juge a rendu le jugement hier.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Eine Richterin verkündete gestern das Urteil.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Судья вынесла приговор вчера.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Sędzina ogłosiła wyrok wczoraj.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Egy bíró tegnap hirdette ki az ítéletet.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,Una giudice ha emesso la sentenza ieri.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Një gjyqtare shpalli vendimin dje.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,一位法官昨天宣布了判决。,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,裁判官が昨日判決を言い渡しました。,Ένας δικαστής εξέδωσε την απόφαση χθες.,1,قاضية أصدرت الحكم أمس.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,שופטת הוציאה את פסק הדין אתמול.,Μια δικαστής εξέδωσε την απόφαση χθες.,0,एक महिला न्यायाधीश ने कल फैसला सुनाया।,Μια δικαστής εξέδωσε την απόφαση χθες.,0,Jaji moja alitoa hukumu jana.,Ένας δικαστής εξέδωσε την απόφαση χθες.,1
16,Las enfermeras que trabajan en el hospital son muy dedicadas.,"Las enfermeras, dedicadas (fem.)",Articles,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,Οι νοσηλευτές που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,1,Gender change: feminine 'νοσοκόμες' → masculine form,0,1,0,0,0,0,0,The nurses who work in the hospital are very dedicated.,Οι νοσοκόμες που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένες.,0,Sjuksköterskorna som arbetar på sjukhuset är mycket engagerade.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Hastanede çalışan hemşireler çok özverilidir.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Les infirmières qui travaillent à l'hôpital sont très dévouées.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,"Die Krankenschwestern, die im Krankenhaus arbeiten, sind sehr engagiert.",Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,"Медсёстры, работающие в больнице, очень преданны делу.",Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Pielęgniarki pracujące w szpitalu są bardzo oddane.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,A kórházban dolgozó ápolók nagyon elkötelezettek.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Le infermiere che lavorano in ospedale sono molto dedite.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Infermierët që punojnë në spital janë shumë të përkushtuar.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,在医院工作的护士们非常敬业。,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,病院で働く看護師たちは非常に献身的です。,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,الممرضات اللواتي يعملن في المستشفى مخلصات جداً.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,האחיות שעובדות בבית החולים מסורות מאוד.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,अस्पताल में काम करने वाली नर्सें बहुत समर्पित हैं।,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0,Wauguzi wanaofanya kazi hospitalini ni wajitolea sana.,Οι νοσοκόμοι που εργάζονται στο νοσοκομείο είναι πολύ αφοσιωμένοι.,0
17,Todas las ministras asistieron a la conferencia.,Todas las ministras (fem.),Articles,Όλες οι υπουργοί παρευρέθηκαν στη διάσκεψη.,Όλοι οι υπουργοί συμμετείχαν στο συνέδριο.,1,Gender change: 'Όλες' (fem.) → 'Όλοι' (masc.),0,1,0,0,0,0,0,All the ministers attended the conference.,Όλοι οι υπουργοί παρακολούθησαν το συνέδριο.,0,Alla ministrar deltog i konferensen.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Tüm bakanlar konferansa katıldı.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Tous les ministres ont assisté à la conférence.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Alle Ministerinnen nahmen an der Konferenz teil.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Все министры приняли участие в конференции.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Wszystkie ministrowie uczestniczyły w konferencji.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Minden miniszter részt vett a konferencián.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Tutte le ministre hanno partecipato alla conferenza.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Të gjithë ministrat morën pjesë në konferencë.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,所有部长都参加了会议。,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,すべての大臣が会議に出席しました。,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,جميع الوزيرات حضرن المؤتمر.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,כל השרות השתתפו בכנס.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,सभी मंत्रियों ने सम्मेलन में भाग लिया।,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0,Mawaziri wote walihudhuria mkutano.,Όλοι οι υπουργοί παρευρέθηκαν στη διάσκεψη.,0
18,Ellas estaban cansadas después del viaje.,"Ellas, cansadas (fem.)",Adjectives and Participles,Αυτές ήταν κουρασμένες μετά το ταξίδι.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Loss of 'Αυτές' (fem.) and feminine adjective 'κουρασμένες',0,1,0,0,0,0,0,They were tired after the trip.,Ήταν κουρασμένοι μετά το ταξίδι.,1,De var trötta efter resan.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Onlar seyahatten sonra yorgundu.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Elles étaient fatiguées après le voyage.,Ήταν κουρασμένες μετά το ταξίδι.,0,Sie waren nach der Reise müde.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Они были уставшие после поездки.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Były zmęczone po podróży.,Ήταν κουρασμένες μετά το ταξίδι.,0,Fáradtak voltak az utazás után.,Ήταν κουρασμένοι μετά το ταξίδι.,1,Erano stanche dopo il viaggio.,Ήταν κουρασμένες μετά το ταξίδι.,0,Ishin të lodhura pas udhëtimit.,Ήταν κουρασμένες μετά το ταξίδι.,0,她们旅行后很累。,Ήταν κουρασμένοι μετά το ταξίδι.,1,彼女たちは旅行の後疲れていました。,Ήταν κουρασμένοι μετά το ταξίδι.,1,كن متعبات بعد الرحلة.,Ήταν κουρασμένες μετά το ταξίδι.,0,הן היו עייפות אחרי הנסיעה.,Ήταν κουρασμένες μετά το ταξίδι.,0,वे यात्रा के बाद थकी हुई थीं।,Ήταν κουρασμένες μετά το ταξίδι.,0,Walikuwa wamechoka baada ya safari.,Ήταν κουρασμένοι μετά το ταξίδι.,1
19,¿Estás cansada después del trabajo?,cansada (fem. sing.),Adjectives and Participles,Είσαι κουρασμένη μετά τη δουλειά;,Είστε κουρασμένοι μετά τη δουλειά;,1,Gender change and number change: 3rd person singular feminine → 3rd person plural masculine,0,1,0,0,1,0,0,Are you tired after work?,Είστε κουρασμένοι μετά τη δουλειά;,1,Är du trött efter jobbet?,Είσαι κουρασμένος μετά τη δουλειά;,0,İşten sonra yorgun musun?,Είσαι κουρασμένος μετά τη δουλειά;,0,Es-tu fatigué après le travail?,Είσαι κουρασμένος μετά τη δουλειά;,0,Bist du nach der Arbeit müde?,Είσαι κουρασμένος μετά τη δουλειά;,0,Ты устал после работы?,Είσαι κουρασμένος μετά τη δουλειά;,0,Jesteś zmęczony po pracy?,Είσαι κουρασμένος μετά τη δουλειά;,0,Fáradt vagy munka után?,Είσαι κουρασμένος μετά τη δουλειά;,0,Sei stanco dopo il lavoro?,Είσαι κουρασμένος μετά τη δουλειά;,0,Je i lodhur pas punës?,Είσαι κουρασμένος μετά τη δουλειά;,0,你工作后累吗？,Είσαι κουρασμένος μετά τη δουλειά;,0,仕事の後疲れていますか？,Είσαι κουρασμένος μετά τη δουλειά;,0,هل أنت متعب بعد العمل؟,Είσαι κουρασμένος μετά τη δουλειά;,0,אתה עייף אחרי העבודה?,Είσαι κουρασμένος μετά τη δουλειά;,0,क्या तुम काम के बाद थके हुए हो?,Είσαι κουρασμένος μετά τη δουλειά;,0,"Je, umechoka baada ya kazi?",Είσαι κουρασμένος μετά τη δουλειά;,0
20,¿Estáis cansadas del viaje?,cansadas (fem. pl.),Adjectives and Participles,Είστε κουρασμένες από το ταξίδι;,Είστε κουρασμένοι από το ταξίδι;,1,Gender change,0,1,0,0,0,0,0,Are you tired from the trip?,Είστε κουρασμένοι από το ταξίδι;,1,Är ni trötta efter resan?,Είστε κουρασμένοι από το ταξίδι;,1,Seyahatten yorgun musunuz?,Είστε κουρασμένοι από το ταξίδι;,1,Êtes-vous fatigués du voyage?,Είστε κουρασμένοι από το ταξίδι;,1,Seid ihr von der Reise müde?,Είστε κουρασμένοι από το ταξίδι;,1,Вы устали от поездки?,Είστε κουρασμένοι από το ταξίδι;,1,Jesteście zmęczeni po podróży?,Είστε κουρασμένοι από το ταξίδι;,1,Fáradtak vagytok az utazástól?,Είστε κουρασμένοι από το ταξίδι;,1,Siete stanchi del viaggio?,Είστε κουρασμένοι από το ταξίδι;,1,Jeni të lodhur nga udhëtimi?,Είστε κουρασμένοι από το ταξίδι;,1,你们旅行后累吗？,Είστε κουρασμένοι από το ταξίδι;,1,旅行の後疲れていますか？,Είστε κουρασμένοι από το ταξίδι;,1,هل أنتم متعبون من الرحلة؟,Είστε κουρασμένοι από το ταξίδι;,1,אתם עייפים מהנסיעה?,Είστε κουρασμένοι από το ταξίδι;,1,क्या आप यात्रा से थके हुए हैं?,Είστε κουρασμένοι από το ταξίδι;,1,"Je, mmechoka kutoka safari?",Είστε κουρασμένοι από το ταξίδι;,1
21,Su libro es muy interesante.,Su (gender-neutral possessive),Possessive Pronouns,Το βιβλίο του/της/σας/τους είναι πολύ ενδιαφέρον.,Το βιβλίο σας είναι πολύ ενδιαφέρον.,0,No gender bias; possessive 'su' is gender-neutral in Spanish,0,0,0,0,0,0,0,Her book is very interesting.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Hennes bok är mycket intressant.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Onun kitabı çok ilginç.,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0,Son livre est très intéressant.,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0,Ihr Buch ist sehr interessant.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Её книга очень интересная.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Jej książka jest bardzo interesująca.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,A könyve nagyon érdekes.,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0,Il suo libro è molto interessante.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Libri i saj është shumë interesant.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,她的书很有趣。,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0,彼女の本はとても面白いです。,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0,كتابها مثير للاهتمام جداً.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,הספר שלה מאוד מעניין.,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,उसकी किताब बहुत दिलचस्प है।,Το βιβλίο της είναι πολύ ενδιαφέρον.,0,Kitabu chake ni cha kuvutia sana.,Το βιβλίο του/της είναι πολύ ενδιαφέρον.,0
22,Sus zapatos son nuevos.,Sus (gender-neutral possessive),Possessive Pronouns,Τα παπούτσια του/της/σας/τους είναι καινούργια.,Τα παπούτσια σου είναι καινούργια.,0,No gender bias; possessive 'sus' is gender-neutral in Spanish,0,0,0,0,0,0,0,Her shoes are new.,Τα παπούτσια της είναι καινούργια.,0,Hennes skor är nya.,Τα παπούτσια της είναι καινούργια.,0,Onun ayakkabıları yeni.,Τα παπούτσια του/της είναι καινούργια.,0,Ses chaussures sont neuves.,Τα παπούτσια του/της είναι καινούργια.,0,Ihre Schuhe sind neu.,Τα παπούτσια της είναι καινούργια.,0,Её туфли новые.,Τα παπούτσια της είναι καινούργια.,0,Jej buty są nowe.,Τα παπούτσια της είναι καινούργια.,0,A cipője új.,Τα παπούτσια του/της είναι καινούργια.,0,Le sue scarpe sono nuove.,Τα παπούτσια της είναι καινούργια.,0,Këpucët e saj janë të reja.,Τα παπούτσια της είναι καινούργια.,0,她的鞋是新的。,Τα παπούτσια του/της είναι καινούργια.,0,彼女の靴は新しいです。,Τα παπούτσια του/της είναι καινούργια.,0,حذاؤها جديد.,Τα παπούτσια της είναι καινούργια.,0,הנעליים שלה חדשות.,Τα παπούτσια της είναι καινούργια.,0,उसके जूते नए हैं।,Τα παπούτσια της είναι καινούργια.,0,Viatu vyake ni vipya.,Τα παπούτσια του/της είναι καινούργια.,0
23,Su carpeta se perdió ayer.,Su (gender-neutral possessive),Possessive Pronouns,Ο φάκελός του/της/σας/τους χάθηκε χθες.,Ο φάκελός σου χάθηκε χθες.,0,No gender bias; possessive 'su' is gender-neutral in Spanish,0,0,0,0,0,0,0,Her folder was lost yesterday.,Ο φάκελός της χάθηκε χθες.,0,Hennes mapp försvann igår.,Ο φάκελός της χάθηκε χθες.,0,Onun dosyası dün kayboldu.,Ο φάκελός του/της χάθηκε χθες.,0,Son dossier a été perdu hier.,Ο φάκελός του/της χάθηκε χθες.,0,Ihre Mappe ging gestern verloren.,Ο φάκελός της χάθηκε χθες.,0,Её папка потерялась вчера.,Ο φάκελός της χάθηκε χθες.,0,Jej teczka zaginęła wczoraj.,Ο φάκελός της χάθηκε χθες.,0,A mappája tegnap elveszett.,Ο φάκελός του/της χάθηκε χθες.,0,La sua cartella è andata persa ieri.,Ο φάκελός της χάθηκε χθες.,0,Dosja e saj humbi dje.,Ο φάκελός της χάθηκε χθες.,0,她的文件夹昨天丢了。,Ο φάκελός του/της χάθηκε χθες.,0,彼女のファイルは昨日なくなりました。,Ο φάκελός του/της χάθηκε χθες.,0,ملفها ضاع أمس.,Ο φάκελός της χάθηκε χθες.,0,התיקייה שלה אבדה אתמול.,Ο φάκελός της χάθηκε χθες.,0,उसकी फ़ाइल कल खो गई।,Ο φάκελός της χάθηκε χθες.,0,Faili yake ilipotea jana.,Ο φάκελός του/της χάθηκε χθες.,0
24,Alguna de las abogadas renunció.,"Alguna, las abogadas (fem.)",Indefinite Pronouns,Κάποια από τις δικηγόρους παραιτήθηκε.,Μερικοί από τους δικηγόρους παραιτήθηκαν.,1,Gender and pronoun type change: 'κάποια' (fem.) → 'μερικοί' (masc.),0,1,0,0,0,1,0,One of the lawyers resigned.,Ένας από τους δικηγόρους παραιτήθηκε.,0,En av advokaterna avgick.,Ένας από τους δικηγόρους παραιτήθηκε.,0,Avukatlardan biri istifa etti.,Ένας από τους δικηγόρους παραιτήθηκε.,0,Une des avocates a démissionné.,Μια από τις δικηγόρους παραιτήθηκε.,0,Eine der Anwältinnen trat zurück.,Μια από τις δικηγόρους παραιτήθηκε.,0,Одна из адвокатов ушла в отставку.,Μια από τις δικηγόρους παραιτήθηκε.,0,Jedna z adwokatek zrezygnowała.,Μια από τις δικηγόρους παραιτήθηκε.,0,Az egyik ügyvéd lemondott.,Ένας από τους δικηγόρους παραιτήθηκε.,0,Una delle avvocatesse si è dimessa.,Μια από τις δικηγόρους παραιτήθηκε.,0,Një nga avokatet dha dorëheqjen.,Μια από τις δικηγόρους παραιτήθηκε.,0,其中一位律师辞职了。,Ένας από τους δικηγόρους παραιτήθηκε.,0,弁護士の一人が辞任しました。,Ένας από τους δικηγόρους παραιτήθηκε.,0,إحدى المحاميات استقالت.,Μια από τις δικηγόρους παραιτήθηκε.,0,אחת מהעורכות דין התפטרה.,Μια από τις δικηγόρους παραιτήθηκε.,0,एक महिला वकील ने इस्तीफा दे दिया।,Μια από τις δικηγόρους παραιτήθηκε.,0,Moja ya mawakili alijiuzulu.,Ένας από τους δικηγόρους παραιτήθηκε.,0
